"CensoPorModalidad","CodigoCFR","Nombre","LABORATORIO","PuertoBase","Eslora","Peso_DO","Peso_NV"
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000005948","Illa da Creva","AZTI","Marin",20.02,27485.6,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000005948","Illa da Creva","IEO","Marin",20.02,5005.3,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023061","Gaztelugatxe","AZTI","Ondarroa",26,326918.36,325348.4
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023062","Aketxe","AZTI","Ondarroa",26,313165.95,310907.9
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023918","Luscinda","AZTI","Aviles",27.5,1050,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023918","Luscinda","IEO","Aviles",27.5,4350,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024087","Travesia","AZTI","Aviles",26.5,128.03,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024091","Plaia de Esteiro","AZTI","Muros",28,72705.27,22803
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024091","Plaia de Esteiro","IEO","Muros",28,6088,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024283","Serenin ( ex Minchos Quinto)","AZTI","Celeiro",30,275272.56,150346.1
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024283","Serenin ( ex Minchos Quinto)","IEO","Celeiro",30,27212.1,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024563","Arretxu Berria","AZTI","Ondarroa",29,525612.81,523281.4
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024580","Andrekala Berria","AZTI","Ondarroa",29,497695.66,495434
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024724","Hermanos San Salvador","AZTI","Santander",27.5,66477,6942
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024724","Hermanos San Salvador","IEO","Santander",27.5,55448.29,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024732","Vilaboa Uno","AZTI","Santander",28.5,56608.02,16039
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024732","Vilaboa Uno","IEO","Santander",28.5,45494.62,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000026604","Avedal","AZTI","Santa Uxia de Ribeira",35,155107,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000027773","Eleuterio Jose Balayo","AZTI","Aviles",32.2,113980.46,113590.5
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000027773","Eleuterio Jose Balayo","IEO","Aviles",32.2,2448.92,NA
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025137","Intxortamendi","AZTI","Ondarroa",40,574764.3,546800.3
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025788","Kalamendi","AZTI","Ondarroa",42.5,845156.34,803373.5
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025819","Mar Mares","AZTI","Ondarroa",38.5,877020.32,624317.94
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026011","Eguzki Lore","AZTI","Ondarroa",37,668195.1,632148.06
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026597","Antiuko Ama","AZTI","Ondarroa",38.5,1003588.98,964193.53
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026597","Antiuko Ama","IEO","Ondarroa",38.5,NA,933
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026833","Kaxu","AZTI","Ondarroa",37,1081081.55,1057611.5
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026886","Kaxarra","AZTI","Ondarroa",37,1021480.14,999076.1
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026887","Nuevo Charolais","AZTI","Santander",26.43,9091.46,NA
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026887","Nuevo Charolais","IEO","Santander",26.43,8989.79,NA
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026895","Gure Kantabriko","AZTI","Ondarroa",39,712305.01,542501.5
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026895","Gure Kantabriko","IEO","Ondarroa",39,NA,8294.9
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000027189","Gure Gaskuña","AZTI","Ondarroa",39,644295.62,531982.2
"ARRASTRE EN AGUAS DE PORTUGAL","ESP000023312","Mar de Agueda (Golfiño R)","AZTI","Marin",28,NA,154092
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000022829","Sukari Primero","AZTI","Santander",31,NA,359906
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000022829","Sukari Primero","IEO","Santander",31,511137.7,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023133","Hermanos Busto","AZTI","Ondarroa",29.35,343875.77,275171.5
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023133","Hermanos Busto","IEO","Ondarroa",29.35,NA,40917.43
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023383","Mataleñas Segundo","AZTI","Burela",29,NA,15247
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023383","Mataleñas Segundo","IEO","Burela",29,17389.76,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023422","Jesus de Galiana","AZTI","Burela",29,NA,2731.98
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023422","Jesus de Galiana","IEO","Burela",29,18041.34,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000024868","Cali Uno","AZTI","Santa Uxia de Ribeira",31,NA,354781
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000024868","Cali Uno","IEO","Santa Uxia de Ribeira",31,514059.22,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000024879","Vera","AZTI","Burela",32.5,NA,47031
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000024879","Vera","IEO","Burela",32.5,112889.04,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025384","Brieiro","AZTI","Ondarroa",33,309470.59,251670.94
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025384","Brieiro","IEO","Ondarroa",33,15869.92,54169.3
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025710","Breogan Uno","AZTI","Burela",32,NA,17700
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025710","Breogan Uno","IEO","Burela",32,19364.18,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026025","Anxuela","AZTI","Celeiro",30,NA,2328.6
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026025","Anxuela","IEO","Celeiro",30,14180.88,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026138","Nuevo Santillana","AZTI","Santa Uxia de Ribeira",32,NA,349552.4
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026138","Nuevo Santillana","IEO","Santa Uxia de Ribeira",32,464619.67,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026226","Idurre Berria","AZTI","Burela",33,NA,33276.07
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026226","Idurre Berria","IEO","Burela",33,74415.28,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026556","Currana Un","AZTI","Celeiro",33.5,NA,2088
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026556","Currana Un","IEO","Celeiro",33.5,10569.67,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026948","Akillamendi Berria","AZTI","Ondarroa",35.4,622969.69,267299.4
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026956","Breogan Tres","AZTI","Burela",32,NA,6923
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026956","Breogan Tres","IEO","Burela",32,23904.87,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026999","Siempre Revuelta","AZTI","Burela",33.5,NA,42501.23
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026999","Siempre Revuelta","IEO","Burela",33.5,50970,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000027000","Faro de Burela","AZTI","Burela",33.5,NA,30649.63
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000027000","Faro de Burela","IEO","Burela",33.5,38806.82,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000027069","Anchousa","AZTI","Celeiro",30.5,NA,257664.71
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000027069","Anchousa","IEO","Celeiro",30.5,357448.52,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000100009","Aveneira","AZTI","Celeiro",32,NA,251009.52
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000100009","Aveneira","IEO","Celeiro",32,361973.33,NA
"ARTES MENORES EN CANTABRICO NW","ESP000008715","Meteoro Tercero","AZTI","Santa Uxia de Ribeira",13.9,2687.2,NA
"ARTES MENORES EN CANTABRICO NW","ESP000008715","Meteoro Tercero","IEO","Santa Uxia de Ribeira",13.9,3762.5,NA
"ARTES MENORES EN CANTABRICO NW","ESP000015985","Zeruko Lainoa Segundo","AZTI","Donostia",10,36912.1,36979.25
"ARTES MENORES EN CANTABRICO NW","ESP000021828","Castillo Anaiak (ex Agustina)","AZTI","Getaria",15.5,86713.57,86265.57
"ARTES MENORES EN CANTABRICO NW","ESP000021920","Alain Bi","AZTI","Getaria",8.2,11395.14,11395.14
"ARTES MENORES EN CANTABRICO NW","ESP000022247","Clementina","AZTI","Pasaia",11.68,38805.71,38592.4
"ARTES MENORES EN CANTABRICO NW","ESP000022800","Amets","AZTI","Getaria",15.65,87864.48,86727.04
"ARTES MENORES EN CANTABRICO NW","ESP000022800","Amets","IEO","Getaria",15.65,661.2,NA
"ARTES MENORES EN CANTABRICO NW","ESP000022816","Nuevo Chuchi","AZTI","Pasaia",9.2,11454.13,11387.5
"ARTES MENORES EN CANTABRICO NW","ESP000022816","Nuevo Chuchi","IEO","Pasaia",9.2,5439.2,5439.2
"ARTES MENORES EN CANTABRICO NW","ESP000022945","Madarieta (ex Rubixua)","AZTI","Lekeitio",7,1217,1217
"ARTES MENORES EN CANTABRICO NW","ESP000022981","Beti Begoñako Ama (ex Beti Barrenetxea)","AZTI","Bermeo",23.35,152007.18,160840.8
"ARTES MENORES EN CANTABRICO NW","ESP000022981","Beti Begoñako Ama (ex Beti Barrenetxea)","IEO","Bermeo",23.35,23467,10230
"ARTES MENORES EN CANTABRICO NW","ESP000023204","Canalechebarria","AZTI","Bermeo",26,140922.26,138507.08
"ARTES MENORES EN CANTABRICO NW","ESP000023204","Canalechebarria","IEO","Bermeo",26,28278,28118
"ARTES MENORES EN CANTABRICO NW","ESP000023265","Abelan Uno","AZTI","Pasaia",9.25,47527.14,47006.8
"ARTES MENORES EN CANTABRICO NW","ESP000023352","Beti Iskander (ex Herbosa)","AZTI","Santurtzi",8.8,32536.6,30246.5
"ARTES MENORES EN CANTABRICO NW","ESP000023352","Beti Iskander (ex Herbosa)","IEO","Santurtzi",8.8,1761.5,1480.5
"ARTES MENORES EN CANTABRICO NW","ESP000023420","Aita Joxe","AZTI","Hondarribia",10.05,372.3,393.9
"ARTES MENORES EN CANTABRICO NW","ESP000023520","Yolanda Cuarta","AZTI","Castro Urdiales",12.31,3360.6,NA
"ARTES MENORES EN CANTABRICO NW","ESP000023573","Ilunber eta Iskander","AZTI","Santurtzi",10.35,1793.9,1495.9
"ARTES MENORES EN CANTABRICO NW","ESP000023573","Ilunber eta Iskander","IEO","Santurtzi",10.35,30223.2,32273
"ARTES MENORES EN CANTABRICO NW","ESP000023882","Izurdia Maitea","AZTI","Bermeo",26,173690.72,164373.25
"ARTES MENORES EN CANTABRICO NW","ESP000023911","Beti Aurrera","AZTI","Castro Urdiales",13.25,313.4,NA
"ARTES MENORES EN CANTABRICO NW","ESP000023970","Antiguotarrak (ex Madre Dolores)","AZTI","Donostia",10.5,3378.8,3757.95
"ARTES MENORES EN CANTABRICO NW","ESP000023970","Antiguotarrak (ex Madre Dolores)","IEO","Donostia",10.5,23397,22584.5
"ARTES MENORES EN CANTABRICO NW","ESP000024104","Gure Ama Martina","AZTI","Hondarribia",21,112569.9,112574
"ARTES MENORES EN CANTABRICO NW","ESP000024104","Gure Ama Martina","IEO","Hondarribia",21,79936.5,79337
"ARTES MENORES EN CANTABRICO NW","ESP000024140","El Marinero","AZTI","Santander",14,81358.12,84576.3
"ARTES MENORES EN CANTABRICO NW","ESP000024140","El Marinero","IEO","Santander",14,936,NA
"ARTES MENORES EN CANTABRICO NW","ESP000024146","Pepin Calvita","AZTI","Pasaia",14.98,3211.95,419
"ARTES MENORES EN CANTABRICO NW","ESP000024146","Pepin Calvita","IEO","Pasaia",14.98,5,NA
"ARTES MENORES EN CANTABRICO NW","ESP000024150","Farolin","AZTI","Zierbena",13.32,3845,NA
"ARTES MENORES EN CANTABRICO NW","ESP000024150","Farolin","IEO","Zierbena",13.32,18992,21067.6
"ARTES MENORES EN CANTABRICO NW","ESP000024158","Itxasoko Lorea Dos","AZTI","Armintza",13.3,45486.5,45240.6
"ARTES MENORES EN CANTABRICO NW","ESP000024158","Itxasoko Lorea Dos","IEO","Armintza",13.3,37362,37362.6
"ARTES MENORES EN CANTABRICO NW","ESP000024222","Padilla Anaiak","AZTI","Hondarribia",11.3,85221.75,85221.75
"ARTES MENORES EN CANTABRICO NW","ESP000024300","Mar de Llanes","AZTI","Pasaia",8.95,42346.01,42016.7
"ARTES MENORES EN CANTABRICO NW","ESP000024354","Nuevo Pastor","AZTI","Celeiro",11.3,5970.57,5743.7
"ARTES MENORES EN CANTABRICO NW","ESP000024354","Nuevo Pastor","IEO","Celeiro",11.3,164.19,NA
"ARTES MENORES EN CANTABRICO NW","ESP000024401","Castro Verde","IEO","Santoña",14.3,892.75,NA
"ARTES MENORES EN CANTABRICO NW","ESP000024416","Handik","AZTI","Pasaia",14.5,40241.6,44713.4
"ARTES MENORES EN CANTABRICO NW","ESP000024501","Garrintxo eta Zomorro (ex Nuevo Venus)","AZTI","Pasaia",14.8,37813.88,37449.1
"ARTES MENORES EN CANTABRICO NW","ESP000024541","Mari Errota","AZTI","Lekeitio",7.92,12218,12218
"ARTES MENORES EN CANTABRICO NW","ESP000024623","Azkena","AZTI","Pasaia",10.34,27923.92,24367.2
"ARTES MENORES EN CANTABRICO NW","ESP000024623","Azkena","IEO","Pasaia",10.34,3739,7146.1
"ARTES MENORES EN CANTABRICO NW","ESP000024654","Bihotz Alai","AZTI","Armintza",11.6,38596.71,35713.1
"ARTES MENORES EN CANTABRICO NW","ESP000024654","Bihotz Alai","IEO","Armintza",11.6,15150.45,21187
"ARTES MENORES EN CANTABRICO NW","ESP000024737","Nuevo Tono","AZTI","Mundaka",7.1,5652.8,5652.8
"ARTES MENORES EN CANTABRICO NW","ESP000024737","Nuevo Tono","IEO","Mundaka",7.1,1455.3,1455.3
"ARTES MENORES EN CANTABRICO NW","ESP000024802","Amua","AZTI","Plentzia",10.05,240.15,NA
"ARTES MENORES EN CANTABRICO NW","ESP000024802","Amua","IEO","Plentzia",10.05,31743.7,31777.3
"ARTES MENORES EN CANTABRICO NW","ESP000024877","Ixurde","AZTI","Armintza",10.05,4807.22,4247.9
"ARTES MENORES EN CANTABRICO NW","ESP000024877","Ixurde","IEO","Armintza",10.05,31492,31499.5
"ARTES MENORES EN CANTABRICO NW","ESP000024915","Beti Salada Segundo","AZTI","Pasaia",10.05,21430.93,23802.3
"ARTES MENORES EN CANTABRICO NW","ESP000024915","Beti Salada Segundo","IEO","Pasaia",10.05,17823,17830.5
"ARTES MENORES EN CANTABRICO NW","ESP000024946","Beti Zeruko Izarra (ex Laura y Cristina)","AZTI","Bermeo",16,88246.71,87596.55
"ARTES MENORES EN CANTABRICO NW","ESP000024946","Beti Zeruko Izarra (ex Laura y Cristina)","IEO","Bermeo",16,5734.5,5484.5
"ARTES MENORES EN CANTABRICO NW","ESP000024988","Estela del Carmen","AZTI","Mundaka",13.3,11360.59,12584.2
"ARTES MENORES EN CANTABRICO NW","ESP000024988","Estela del Carmen","IEO","Mundaka",13.3,41476.3,40209
"ARTES MENORES EN CANTABRICO NW","ESP000025003","Velamar","AZTI","Ribadesella",10.31,279,NA
"ARTES MENORES EN CANTABRICO NW","ESP000025104","Rokillo (ex Sara del Mar)","AZTI","Santurtzi",9.61,3581.5,3691.9
"ARTES MENORES EN CANTABRICO NW","ESP000025104","Rokillo (ex Sara del Mar)","IEO","Santurtzi",9.61,18315,18315
"ARTES MENORES EN CANTABRICO NW","ESP000025308","Untxi","AZTI","Bermeo",10.1,24053.5,23746.6
"ARTES MENORES EN CANTABRICO NW","ESP000025480","Nuevo Moni","AZTI","Bermeo",15.05,52555.01,49398.55
"ARTES MENORES EN CANTABRICO NW","ESP000025496","Hiru Anaiak","AZTI","Santurtzi",15.77,15140.89,858.6
"ARTES MENORES EN CANTABRICO NW","ESP000025496","Hiru Anaiak","IEO","Santurtzi",15.77,41725.26,43391.15
"ARTES MENORES EN CANTABRICO NW","ESP000025521","Gure Naiara (ex Ana Karina)","AZTI","Bermeo",13.35,88982.69,90765
"ARTES MENORES EN CANTABRICO NW","ESP000025521","Gure Naiara (ex Ana Karina)","IEO","Bermeo",13.35,873,291.6
"ARTES MENORES EN CANTABRICO NW","ESP000025522","Bide Ona Bi","AZTI","Lekeitio",14.6,40345.74,40226.75
"ARTES MENORES EN CANTABRICO NW","ESP000025539","Atxurra Anaiak","AZTI","Lekeitio",14.6,39393.52,39613.4
"ARTES MENORES EN CANTABRICO NW","ESP000025649","Jon Kurtzio (ex Artxanda Eder)","AZTI","Bermeo",8.36,51537.7,52736.45
"ARTES MENORES EN CANTABRICO NW","ESP000025721","Satanas Bi","AZTI","Donostia",11.5,10186.1,9462.7
"ARTES MENORES EN CANTABRICO NW","ESP000025749","Nuevo Turri (ex Sabadeo ex Abertzale)","IEO","Santurtzi",14.06,74999.07,67337.55
"ARTES MENORES EN CANTABRICO NW","ESP000025771","Jairo","IEO","Pasaia",9.75,2717.8,2717.8
