Nombre Buque;Cód UE;Pareja;Cód UE Pareja;Puerto Venta;Puerto Base;Trimestre;Trimestre Desembarco;Año;Año construcción;TRB;GT;Potencia CV;Potencia KW;Eslora total;Eslora PP;Zona;Metier;Especie Oficial;Especie Científico;Especie Inglés;Especie ALFA3;Kg Desembarcados;Kg Desemb Peso Vivo;Precio por Kg;Precio Total
Beti San Luis;ESP000010863;;;Getaria;Orio;4;4;2020;1972;149,92;161;760;;28,5;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;250;250;;
Beti San Luis;ESP000010863;;;Hondarribia;Orio;2;2;2019;1972;149,92;161;760;;28,5;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;8161,6;8161,6;0,707915115;5777,72
Berriz Irigoien;ESP000023227;;;Getaria;Getaria;1;1;2020;1996;148,42;192;613;;35,6;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;97178,2;97178,2;0,894994649;86973,969
Berriz Irigoien;ESP000023227;;;Getaria;Getaria;4;4;2020;1996;148,42;192;613;;35,6;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;69781,7;69781,7;0,573172451;39996,948
Berriz Kukuarri (ex Gure Aita Joxe);ESP000025568;;;Ondarroa;Donostia;4;4;2020;2003;146,52;160;455;;32;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;4999;4999;0,99405101;4969,261
Berriz Matutina (ex San Francisco Berria);ESP000023394;;;Bermeo;Hondarribia;1;1;2019;1996;105,71;139;500;;30,85;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;521;521;2,5;1302,5
Berriz Matutina (ex San Francisco Berria);ESP000023394;;;Hondarribia;Hondarribia;1;1;2019;1996;105,71;139;500;;30,85;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;66695,5;66695,5;1,247264733;83186,945
Berriz Patxiku;ESP000025888;;;Getaria;Getaria;1;1;2019;2004;;287;1039,4;;30,4;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;8962,6;8962,6;1,234689487;11066,028
Berriz Patxiku;ESP000025888;;;Getaria;Getaria;2;2;2020;2004;;287;1039,4;;30,4;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;7183,9;7183,9;1,366205682;9814,685
Berriz Patxiku;ESP000025888;;;Hondarribia;Getaria;2;2;2019;2004;;287;1039,4;;30,4;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;9560,3;9560,3;0,968532264;9259,459
Berriz Patxiku;ESP000025888;;;Pasaia;Getaria;1;1;2020;2004;;287;1039,4;;30,4;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;1164;1164;2,556116838;2975,32
Beti Aingeru;ESP000025321;;;Getaria;Orio;2;2;2020;2002;133;162;800;;33,28;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;5884,8;5884,8;1,38480849;8149,321
Beti Euskal Herria;ESP000021353;;;Bermeo;Bermeo;2;2;2019;1989;70,68;82,3;260;;24;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;18269;18269;1,39025453;25398,56
Beti Euskal Herria;ESP000021353;;;Bermeo;Bermeo;1;1;2020;1989;70,68;82,3;260;;24;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;53509;53509;0,747923714;40020,65
Beti Euskal Herria;ESP000021353;;;Bermeo;Bermeo;4;4;2020;1989;70,68;82,3;260;;24;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;21;21;1,574285714;33,06
Beti Euskal Herria;ESP000021353;;;Bermeo;Bermeo;4;4;2020;1989;70,68;82,3;260;;24;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;627;627;1,79708134;1126,77
Beti Gure Iskander (ex Martin Albizu Anaiak);ESP000027112;;;Santurtzi;Santurtzi;3;3;2020;2008;49,17;33,24;128;;16,52;;27.8.c;LLS_DEF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;99,5;99,5;0,581708543;57,88
Beti Iskander (ex Herbosa);ESP000023352;;;Bermeo;Santurtzi;2;2;2019;1996;3,85;4,13;21;;8,8;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;4874;4874;1,331768568;6491,04
Beti Itxas Argi;ESP000023206;;;Hondarribia;Bermeo;2;2;2020;1996;82,84;111,03;402;;26;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;14083,9;14083,9;0,760519245;10711,077
Beti Piedad;ESP000025229;;;Getaria;Getaria;1;1;2019;2001;149,94;231;500;;36;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;11321,7;11321,7;0,894599044;10128,382
Beti Piedad;ESP000025229;;;Getaria;Getaria;2;2;2019;2001;149,94;231;500;;36;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;45;45;;
Beti Piedad;ESP000025229;;;Getaria;Getaria;2;2;2020;2001;149,94;231;500;;36;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;6115;6115;1,03919215;6354,66
Beti Salada Segundo;ESP000024915;;;Pasaia;Pasaia;2;2;2019;2001;3,96;3,63;30;;10,05;;27.8.abd;GNS_DEF_60-79_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;26,7;26,7;0,329850187;8,807
Beti Salada Segundo;ESP000024915;;;Pasaia;Pasaia;2;2;2019;2001;3,96;3,63;30;;10,05;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;5,1;5,1;1,753529412;8,943
Beti Salada Segundo;ESP000024915;;;Pasaia;Pasaia;2;2;2019;2001;3,96;3,63;30;;10,05;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;966;966;1,818509317;1756,68
Beti Salada Segundo;ESP000024915;;;Pasaia;Pasaia;4;3;2019;2001;3,96;3,63;30;;10,05;;27.8.abd;GNS_DEF_60-79_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;3,1;3,1;0,65;2,015
Berezmar;ESP000025792;;;Pasaia;Bustio;2;2;2019;2003;33,67;35,61;240;;17,7;;27.8.c;GNS_DEF_>=100_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;319;319;1,017648903;324,63
Berriz Albonigamayor;ESP000024172;;;Bermeo;Bermeo;1;1;2020;1999;98,67;114;175;;26,5;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;97750;97750;0,821483069;80299,97
Berriz Ave Maria;ESP000025310;;;Getaria;Orio;1;1;2019;2002;148,17;206;850;;35,6;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;2432,5;2432,5;0,74814594;1819,865
