Nombre Buque;Cód UE;Pareja;Cód UE Pareja;Puerto Venta;Puerto Base;Trimestre;Trimestre Desembarco;Año;Año construcción;TRB;GT;Potencia CV;Potencia KW;Eslora total;Eslora PP;Zona;Metier;Especie Oficial;Especie Científico;Especie Inglés;Especie ALFA3;Kg Desembarcados;Kg Desemb Peso Vivo;Precio por Kg;Precio Total
Manilo;ESP000022756;;;Ondarroa;Carreira;2;2;2019;1994;49,3;93,6;350;;24;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;127,8;127,8;2,71;346,338
Manilo;ESP000022756;;;Ondarroa;Carreira;1;1;2020;1994;49,3;93,6;350;;24;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;72,9;72,9;0,355102881;25,887
Manilo;ESP000022756;;;Ondarroa;Carreira;2;2;2020;1994;49,3;93,6;350;;24;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;5718,9;5718,9;1,506564374;8615,891
Manuel Padre Segundo;ESP000023947;;;Hondarribia;Colindres;4;4;2019;1998;128,13;177;560;;31,5;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;8972,7;8972,7;0,97;8703,519
Manuel Padre Segundo;ESP000023947;;;Ondarroa;Colindres;2;2;2019;1998;128,13;177;560;;31,5;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;29790,1;29790,1;0,925406461;27567,951
Manuel Padre Segundo;ESP000023947;;;Ondarroa;Colindres;4;4;2019;1998;128,13;177;560;;31,5;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;33470,3;33470,3;0,796949086;26674,125
Manuel Padre Segundo;ESP000023947;;;Ondarroa;Colindres;4;4;2020;1998;128,13;177;560;;31,5;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;39,8;39,8;2;79,6
Manuelak Bi;ESP000100068;;;Getaria;Getaria;1;1;2020;2019;9,82;5,5;40;;9,95;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;8688,1;8688,1;0,776032274;6742,246
Mar de Llanes;ESP000024300;;;Pasaia;Pasaia;1;1;2020;1999;2,79;3,39;40;;8,95;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;111,3;111,3;2,737762803;304,713
Mar de Llanes;ESP000024300;;;Pasaia;Pasaia;1;1;2020;1999;2,79;3,39;40;;8,95;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;24797;24797;0,765274832;18976,52
Mar de Llanes;ESP000024300;;;Pasaia;Pasaia;3;2;2020;1999;2,79;3,39;40;;8,95;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;40;40;1,61385;64,554
Marcelina Lecue;ESP000023798;;;Ondarroa;San Vicente de la Barquera;2;2;2019;;107,98;136;500;;29,85;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;19979,1;19979,1;0,771888173;15421,631
Maremi;ESP000023759;;;Ondarroa;Santoña;4;4;2020;1998;49,89;115;225;;23,45;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;19635,8;19635,8;0,582926339;11446,225
Marien;ESP000027545;;;Ondarroa;Bermeo;2;2;2020;2013;9,93;5;30;;9,96;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;25,5;25,5;0,647843137;16,52
Marien;ESP000027545;;;Santurtzi;Bermeo;1;1;2020;2013;9,93;5;30;;9,96;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;63,7;63,7;2,49466248;158,91
Nuevo Aires Ason;ESP000024986;;;Ondarroa;Colindres;1;1;2019;2000;122,84;128;400;;28,5;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;1108,1;1108,1;2,031193936;2250,766
Nuevo Aires Ason;ESP000024986;;;Ondarroa;Colindres;2;2;2019;2000;122,84;128;400;;28,5;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;13693,3;13693,3;1,555209993;21295,957
Nuevo Aires Ason;ESP000024986;;;Ondarroa;Colindres;4;4;2020;2000;;142;400;;31;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;11633,7;11633,7;0,931477174;10836,526
Nuevo Collado Lindo;ESP000024410;;;Ondarroa;Colindres;1;1;2020;1999;92,37;138;500;;29,1;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;2734,7;2734,7;2,819858851;7711,468
Nuevo Collado Lindo;ESP000024410;;;Ondarroa;Colindres;4;4;2020;1999;92,37;138;500;;29,1;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;145,7;145,7;1,042065889;151,829
Nuevo Creador;ESP000023168;;;Ondarroa;Santander;1;1;2019;1996;118,52;118,33;340;;27,55;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;9596,1;9596,1;3,061893061;29382,232
Nuevo Creador;ESP000023168;;;Ondarroa;Santander;3;3;2019;1996;118,52;118,33;340;;27,55;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;4935,5;4935,5;1,672945396;8256,822
Nuevo Creador;ESP000023168;;;Ondarroa;Santander;3;3;2019;1996;118,52;118,33;340;;27,55;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;1222,2;1222,2;1,48;1808,856
Nuevo Creador;ESP000023168;;;Ondarroa;Santander;4;4;2020;1996;118,52;118,33;340;;27,55;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;10150,9;10150,9;0,998270991;10133,349
Nuevo Creador;ESP000023168;;;Ondarroa;Santander;4;4;2020;1996;118,52;118,33;340;;27,55;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;7020,2;7020,2;0,708648472;4974,854
Nuevo Hermanos Cortabitarte;ESP000023586;;;Hondarribia;San Vicente de la Barquera;2;2;2019;;99,73;127;416;;27;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;85,5;85,5;1,306140351;111,675
Nuevo Hermanos Cortabitarte;ESP000023586;;;Pasaia;San Vicente de la Barquera;2;2;2019;;99,73;127;416;;27;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;2915;2915;3,5;10202,5
Nuevo Hermanos Cortabitarte;ESP000023586;;;Pasaia;San Vicente de la Barquera;4;4;2019;;99,73;127;416;;27;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;14010;14010;0,907259814;12710,71
Nuevo Hermanos Cortabitarte;ESP000023586;;;Pasaia;San Vicente de la Barquera;4;4;2020;;99,73;127;416;;27;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;338;338;;
Nuevo Hermanos Cortabitarte;ESP000023586;;;Pasaia;San Vicente de la Barquera;4;4;2020;;99,73;127;416;;27;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;13636;13636;0,478202552;6520,77
Nuevo Horizonte Abierto;ESP000023830;;;Bermeo;Hondarribia;2;2;2019;1998;112,69;144;320;;30;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;5497;5497;1,404238676;7719,1
Nuevo Horizonte Abierto;ESP000023830;;;Hondarribia;Hondarribia;2;2;2019;1998;112,69;144;320;;30;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;10136;10136;1,33;13480,88
Nuevo Horizonte Abierto;ESP000023830;;;Ondarroa;Hondarribia;2;2;2019;1998;112,69;144;320;;30;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;29516,8;29516,8;1,419346711;41894,573
Nuevo Horizonte Txiki;ESP000026232;;;Pasaia;Pasaia;2;2;2019;2005;3,86;3,28;37;;8;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;2234,5;2234,5;1,600060864;3575,336
Nuevo Horizonte Txiki;ESP000026232;;;Pasaia;Pasaia;3;3;2020;2005;3,86;3,28;37;;8;;27.8.abd;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;551,6;551,6;2,126850979;1173,171
Nuevo Libe;ESP000023484;;;Ondarroa;Santoña;1;1;2019;1997;142,26;194;740;;34,4;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;18177,8;18177,8;1,2542553;22799,602
Nuevo Libe;ESP000023484;;;Ondarroa;Santoña;1;1;2020;1997;142,26;194;740;;34,4;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;3885,6;3885,6;4,162193741;16172,62
Nuevo Luz Alba;ESP000024282;;;Ondarroa;Santander;3;3;2019;1999;50,8;83,4;200;;23,45;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;1687,5;1687,5;0,622394074;1050,29
Nuevo Luz Alba;ESP000024282;;;Ondarroa;Santander;4;4;2020;1999;50,8;83,4;200;;23,45;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;2609,9;2609,9;0,292657573;763,807
Koasta;ESP000026683;;;Getaria;Getaria;3;3;2020;2006;3,29;2,26;40;;8,04;;27.8.abd;GNS_DEF_60-79_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;12;12;0,17;2,04
Koasta;ESP000026683;;;Pasaia;Getaria;2;2;2020;2006;3,29;2,26;40;;8,04;;27.8.abd;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;60,9;60,9;1,020402685;62,14252349
Lekanda;ESP000025901;;;Bermeo;Bermeo;2;2;2019;2004;66,28;85;400;;23;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;10349;10349;1,219410571;12619,68
Lekanda;ESP000025901;;;Ondarroa;Bermeo;2;2;2019;2004;66,28;85;400;;23;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;11822,7;11822,7;0,819810872;9692,378
Lekanda;ESP000025901;;;Ondarroa;Bermeo;2;2;2020;2004;66,28;85;400;;23;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;4439,7;4439,7;1,185093813;5261,461
Lekanda;ESP000025901;;;Ondarroa;Bermeo;4;4;2020;2004;66,28;85;400;;23;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;2020,9;2020,9;0,67;1354,003
Luis Barranko (ex Kantabriko Berria);ESP000023467;;;Hondarribia;Hondarribia;1;1;2019;1996;149,41;233;900;;36;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;8935,8;8935,8;1,301047472;11625,9
Luis Barranko (ex Kantabriko Berria);ESP000023467;;;Hondarribia;Hondarribia;1;1;2020;1996;149,41;233;900;;36;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;129830,5;129830,5;0,887564016;115232,88
Madari;ESP000026574;;;Santurtzi;Armintza;2;2;2019;2005;;7,09;60;;11,47;;27.8.c;LLS_DEF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;8;8;;
Madre Consuelo;ESP000024332;;;Getaria;Laredo;2;2;2019;1999;137,34;175;560;;31,5;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;16,6;16,6;1,17;19,422
Madre Consuelo;ESP000024332;;;Ondarroa;Laredo;2;2;2019;1999;137,34;175;560;;31,5;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;13459,8;13459,8;1,020935749;13741,591
Madre Consuelo;ESP000024332;;;Ondarroa;Laredo;2;2;2019;1999;137,34;175;560;;31,5;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;19844,9;19844,9;1,663175173;33005,545
Madre Consuelo;ESP000024332;;;Ondarroa;Laredo;1;1;2020;1999;137,34;175;560;;31,5;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;189;189;0,966714286;182,709
Madre Consuelo;ESP000024332;;;Pasaia;Laredo;1;1;2019;1999;137,34;175;560;;31,5;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;2819;2819;0,6;1691,4
Madre Consuelo;ESP000024332;;;Pasaia;Laredo;2;2;2020;1999;137,34;175;560;;31,5;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;12611,2;12611,2;1,042345217;13145,224
Madre Lita;ESP000023255;;;Ondarroa;Santoña;2;2;2019;1996;94;135,31;333;;29,85;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;2634,2;2634,2;2,561820287;6748,347
Madre Lita;ESP000023255;;;Ondarroa;Santoña;4;4;2020;1996;94;135,31;333;;29,85;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;1062,3;1062,3;0,26;276,198
Madre Lita;ESP000023255;;;Pasaia;Santoña;2;2;2019;1996;94;135,31;333;;29,85;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;102;102;1,4;142,8
Madre Lucia (ex Toñin);ESP000026240;;;Ondarroa;Laredo;1;1;2020;2005;133,01;144,4;375;;27;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;2386,8;2386,8;0,704662728;1681,889
Madre Lucia (ex Toñin);ESP000026240;;;Ondarroa;Laredo;2;2;2020;2005;133,01;144,4;375;;27;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;1721,8;1721,8;1,781323034;3067,082
Madre Lucia (ex Toñin);ESP000026240;;;Ondarroa;Laredo;4;4;2020;2005;133,01;144,4;375;;27;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;24751,9;24751,9;0,455326298;11270,191
Madre Lucia (ex Toñin);ESP000026240;;;Ondarroa;Laredo;4;4;2020;2005;133,01;144,4;375;;27;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;42829,4;42829,4;0,561188062;24035,348
Manilo;ESP000022756;;;Ondarroa;Carreira;1;1;2019;1994;49,3;93,6;350;;24;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;258,3;258,3;2,1;542,43
Manilo;ESP000022756;;;Ondarroa;Carreira;2;2;2019;1994;49,3;93,6;350;;24;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;54064,7;54064,7;0,969995931;52442,539
Kaxarra;ESP000026886;Kaxu;ESP000026833;Ondarroa;Ondarroa;2;2;2019;2006;240,3;372;500;;37;;27.8.abd;PTB_DEF_>=70_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;25275,25;25275,25;;
Kaximirona;ESP000025233;;;Getaria;Getaria;1;1;2020;2001;140;162;500;;33,5;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;88465,7;88465,7;0,857590479;75867,342
Kaxu;ESP000026833;Kaxarra;ESP000026886;Ondarroa;Ondarroa;4;4;2019;2006;240,3;372;500;;37;;27.8.abd;PTB_DEF_>=70_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;378,5;378,5;;
Koasta;ESP000026683;;;Getaria;Getaria;1;1;2020;2006;3,29;2,26;40;;8,04;;27.8.abd;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;115,4;115,4;2,094142114;241,664
Koasta;ESP000026683;;;Getaria;Getaria;2;2;2020;2006;3,29;2,26;40;;8,04;;27.8.abd;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;2261,4;2261,4;0,680748209;1539,444
Koasta;ESP000026683;;;Getaria;Getaria;4;4;2020;2006;3,29;2,26;40;;8,04;;27.8.abd;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;17,7;17,7;1,508361582;26,698
Koasta;ESP000026683;;;Pasaia;Getaria;2;2;2019;2006;3,29;2,26;40;;8,04;;27.8.c;GNS_DEF_60-79_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;41,5;41,5;0,32562963;13,51362963
Koasta;ESP000026683;;;Pasaia;Getaria;3;3;2020;2006;3,29;2,26;40;;8,04;;27.8.abd;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;284,6;284,6;1,640606618;466,9166434
Lekanda;ESP000025901;;;Bermeo;Bermeo;2;2;2019;2004;66,28;85;400;;23;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;8119;8119;1,33;10798,27
Lekanda;ESP000025901;;;Hondarribia;Bermeo;2;2;2019;2004;66,28;85;400;;23;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;3691,2;3691,2;1,123155613;4145,792
Leporre Anaiak;ESP000024328;;;Bermeo;Bermeo;1;1;2019;1999;99,5;157,97;500;;28,55;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;77481;77481;1,301930667;100874,89
Leporre Anaiak;ESP000024328;;;Bermeo;Bermeo;2;2;2020;1999;99,5;157,97;500;;28,55;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;34904;34904;0,720978398;25165,03
Luis Barranko (ex Kantabriko Berria);ESP000023467;;;Bermeo;Hondarribia;2;2;2019;1996;149,41;233;900;;36;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;46349;46349;1,352893266;62705,25
Luis Barranko (ex Kantabriko Berria);ESP000023467;;;Hondarribia;Hondarribia;2;2;2020;1996;149,41;233;900;;36;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;16736,8;16736,8;1,050012308;17573,846
Madre Consuelo;ESP000024332;;;Getaria;Laredo;2;2;2019;1999;137,34;175;560;;31,5;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;49574,6;49574,6;1,300868489;64490,035
Madre Consuelo;ESP000024332;;;Pasaia;Laredo;2;2;2019;1999;137,34;175;560;;31,5;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;4966;4966;1,953346758;9700,32
Madre Consuelo;ESP000024332;;;Pasaia;Laredo;2;2;2019;1999;137,34;175;560;;31,5;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;5267,5;5267,5;1,255823446;6615,05
Madre Consuelo;ESP000024332;;;Pasaia;Laredo;2;2;2020;1999;137,34;175;560;;31,5;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;4002,4;4002,4;1,024676444;4101,165
Madre Lita;ESP000023255;;;Pasaia;Santoña;4;4;2019;1996;94;135,31;333;;29,85;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;7592;7592;0,764403319;5803,35
Madre Lucia (ex Toñin);ESP000026240;;;Ondarroa;Laredo;1;1;2019;2005;133,01;144,4;375;;27;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;15670,8;15670,8;1,340616561;21008,534
Madre Lucia (ex Toñin);ESP000026240;;;Ondarroa;Laredo;4;4;2019;2005;133,01;144,4;375;;27;;27.8.abd;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;137,8;137,8;0,18;24,804
Madre Lucia (ex Toñin);ESP000026240;;;Ondarroa;Laredo;1;1;2020;2005;133,01;144,4;375;;27;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;522,6;522,6;2,504261385;1308,727
Manilo;ESP000022756;;;Ondarroa;Carreira;2;2;2019;1994;49,3;93,6;350;;24;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;152,9;152,9;0,845689993;129,306
Manilo;ESP000022756;;;Ondarroa;Carreira;2;2;2019;1994;49,3;93,6;350;;24;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;8241,2;8241,2;1,692752754;13950,314
Marien;ESP000027545;;;Santurtzi;Bermeo;1;1;2020;2013;9,93;5;30;;9,96;;27.8.c;GNS_DEF_60-79_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;95,7;95,7;1,841588297;176,24
Mariñel (ex Siempre Maria Mercedes);ESP000027028;;;Ondarroa;Hondarribia;1;1;2019;2005;8,41;8,48;97;;11,93;;27.8.abd;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;1900,1;1900,1;1,27;2413,127
Mater Bi;ESP000025616;;;Getaria;Getaria;2;2;2019;2003;149,9;206;462;;37;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;36861,8;36861,8;0,888087234;32736,494
Mater Bi;ESP000025616;;;Getaria;Getaria;1;1;2020;2003;149,9;206;462;;37;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;82854;82854;0,859813045;71238,95
Matxaku;ESP000026384;;;Bermeo;Bermeo;1;1;2020;2005;60,41;73;400;;23;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;101924;101924;0,817375005;83310,13
Mayador Uno;ESP000023256;;;Ondarroa;Pontedeume;2;2;2019;1996;49,45;87;365;;23,31;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;18,4;18,4;3,06;56,304
Mayador Uno;ESP000023256;;;Ondarroa;Pontedeume;3;3;2019;1996;49,45;87;365;;23,31;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;24578,2;24578,2;1,352522439;33242,567
Mi Nombre Cinco;ESP000026262;;;Ondarroa;Vigo;2;2;2019;2005;49,6;87,1;540;;23,93;;27.8.abd;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;56,2;56,2;2,462099644;138,37
Mi Nombre Cinco;ESP000026262;;;Ondarroa;Vigo;2;2;2019;2005;49,6;87,1;540;;23,93;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;216,2;216,2;2,367742831;511,906
Mirando o Mar;ESP000024228;;;Ondarroa;Foz;2;2;2019;;85,89;102,5;340;;27;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;6273,8;6273,8;0,977407632;6132,06
Mirando o Mar;ESP000024228;;;Ondarroa;Foz;4;4;2020;;85,89;102,5;340;;27;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;112,4;112,4;4,08;458,592
Montserrat Berria;ESP000024630;;;Getaria;Orio;2;2;2019;2000;133,98;151;700;;32,5;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;31748,2;31748,2;0,871749328;27676,472
Montserrat Berria;ESP000024630;;;Getaria;Orio;4;4;2019;2000;133,98;151;700;;32,5;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;17823,2;17823,2;0,855825778;15253,554
Montserrat Berria;ESP000024630;;;Getaria;Orio;4;4;2020;2000;133,98;151;700;;32,5;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;4999,2;4999,2;0,522911666;2614,14
Noche de Paz;ESP000024302;;;Getaria;Santoña;4;4;2019;1999;144,88;163;560;;30,5;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;18920,3;18920,3;0,811356955;15351,117
Nuestro Padre Tonino;ESP000025869;;;Ondarroa;Laredo;2;2;2019;2004;145,87;162;426;;31;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;6874,6;6874,6;2,6;17873,96
Nuestro Padre Tonino;ESP000025869;;;Ondarroa;Laredo;4;4;2019;2004;145,87;162;426;;31;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;68416;68416;0,601250614;41135,162
Nuestro Padre Tonino;ESP000025869;;;Ondarroa;Laredo;4;4;2020;2004;145,87;162;426;;31;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;6006,4;6006,4;0,681183404;4091,46
Nuevo Aires Ason;ESP000024986;;;Ondarroa;Colindres;1;1;2019;2000;122,84;128;400;;28,5;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;11756;11756;1,32731703;15603,939
Nuevo Aires Ason;ESP000024986;;;Ondarroa;Colindres;4;4;2019;2000;;142;400;;31;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;57051,4;57051,4;0,824094746;47015,759
Nuevo Aires Ason;ESP000024986;;;Ondarroa;Colindres;4;4;2019;2000;;142;400;;31;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;13045,2;13045,2;0,56853448;7416,646
Nuevo Collado Lindo;ESP000024410;;;Ondarroa;Colindres;1;1;2019;1999;92,37;138;500;;29,1;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;9653,1;9653,1;1,29719862;12521,988
Nuevo Collado Lindo;ESP000024410;;;Ondarroa;Colindres;3;3;2019;1999;92,37;138;500;;29,1;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;985,5;985,5;1,568554033;1545,81
