Código,Buque,Folio,Código UE,Código MMSI,Código Radio,Baja,Fecha baja,Observaciones,Año construcción,Fecha metier,Metier principal,Metier secundario,Fecha puerto base,Puerto base,Fecha características técnicas,TRB,GT,Eslora,Potencia,Caladero principal,Tipo pesca principal,Segmento,Varios,CensoPorModalidad,Notas
1768,John F Kennedy,3BI13128,ESP000000101,,,VERDADERO,03/11/1998,,,,,,01/01/2019,Lekeitio,,,,,,,,,,,
634,Jon,3XXX0224,,,,VERDADERO,31/12/1997,,,,,,01/01/2019,Ondarroa,01/01/2019,,,,,,,,,,
635,Jon Ane Miren,3BI22741,ESP000000136,,,VERDADERO,05/07/2002,,1978,01/01/2019,LLS_DEF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,39.51,40,18.35,230,Cantabrico Noroeste,Artes Menores,Artes Menores,Artes Menores,ARTES MENORES EN CANTABRICO NW,
1473,Jon Kurtzio (ex Artxanda Eder),3SS15-03,ESP000025649,224223470,EB 2555,FALSO,,cambio de nombre el 28/04/2009,2003,01/01/2019,LLS_DEF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,5.71,5.23,8.36,115,ARTES MENORES EN CANTABRICO NW,Artes Menores,Artes Menores,,ARTES MENORES EN CANTABRICO NW,
2244,Jormar,3CO76-97,ESP000023717,,,FALSO,,"Aunque no esta de baja en 2014, solo tiene ventas en 2007, ¿revisar?",1997,01/01/2019,LLS_DEF_0_0_0,FPO_MOL_0_0_0,01/01/2019,Burela,01/01/2019,8.2,10.66,12.5,28,ARTES MENORES EN CANTABRICO NW,ARTES MENORES,ARTES MENORES,,ARTES MENORES EN CANTABRICO NW,
2454,Jorse,3VI7603,ESP000025655,224085730,EB2536,FALSO,,,2003,01/01/2019,GNS_DEF_60-79_0_0,LHM_SPF_0_0_0,01/01/2019,A Guarda,01/01/2019,17.43,13.21,14.2,90,ARTES MENORES EN CANTABRICO NW,,Bajura,,ARTES MENORES EN CANTABRICO NW,
1769,Jose Antonio,3XXX0226,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
640,Jose Antonio Goienetxea,3XXX0537,,,,VERDADERO,31/12/1995,Baja por c ese de ventas,,,,,01/01/2019,Desconocido,01/01/2019,,,,,,,,,,
642,Jose Antonio Molina,3XXX0229,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
2730,Jose Antonio Segundo,3CO392,ESP000022373,,,FALSO,,,1992,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Foz,01/01/2019,8.25,8.81,11.22,32,ARTES MENORES EN CANTABRICO NW,,,,ARTES MENORES EN CANTABRICO NW,
2588,Jose Balayo Portela,3GI64-00,ESP000025203,224049160,EBWB,FALSO,,,2001,01/01/2019,OTB_DEF_>=55_0_0,,01/01/2019,Aviles,01/01/2019,149.87,256,31.35,500,ARRASTRE DE FONDO EN CANTABRICO NW,Arrastre de Fondo,Bajura,,ARRASTRE DE FONDO EN CANTABRICO NW,
2452,Jose Benito,3VI73539,ESP000016041,,,VERDADERO,11/06/2012,,1989,01/01/2019,LHM_SPF_0_0_0,,01/01/2019,San Ciprian,01/01/2019,9.8,9.98,13.73,99,,,Bajura,Artes menores,,
643,Jose Calo,3XXX0230,,,,VERDADERO,31/12/1998,Baja por cese de ventas,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
644,Jose David,3ST41-91,ESP000022220,,,VERDADERO,05/05/2003,,,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Ceuta,01/01/2019,113.81,114.57,25.4,375,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
2338,Jose Eduardo,3GI62-05,ESP000026487,224170740,EA8620,FALSO,,,2005,01/01/2019,GNS_DEF_80-99_0_0,,01/01/2019,Aviles,01/01/2019,19.96,31,15.95,128,VOLANTA EN CANTABRICO NW,,,,VOLANTA EN CANTABRICO NW,
645,Jose Garcia,3XXX0529,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
646,Jose Ituarte,3XXX0233,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
647,Jose Luis (Comprador),3XXX0235,,,,VERDADERO,31/12/1999,Baja por cese de ventas,,,,,01/01/2019,Lekeitio,01/01/2019,,,,,,,,,,
648,Jose Luis Belaustegui,3XXX0234,,,,VERDADERO,31/12/1996,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
1494,Jose Luisa y Mari,3GI41950,ESP000005083,,,VERDADERO,04/09/2014,,1989,01/01/2019,PTB_MPD_>=55_0_0,,01/01/2019,Celeiro,01/01/2019,223.3,292,29.71,1000,"ZONA CIEM VB, VI, VII Y VIIIABD",PALANGRE DE FONDO,PALANGRE DE FONDO,PALANGRE DE FONDO,"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde",
651,Jose M. Gazagaetxeberria,3XXX0238,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
652,Jose M. Goenaga,3XXX0239,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
654,Jose Manuel,3XXX0241,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
1770,Jose Manuel,3XXX0240,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
655,Jose Manuel Gabantxo,3XXX0242,,,,VERDADERO,31/12/1996,Baja por cese de ventas,,,,,01/01/2019,Bermeo,01/01/2019,,,,,,,,,,
657,Jose Mari eta Juli,3XXX0244,,,,VERDADERO,31/12/1999,Baja por cese de ventas,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
1772,Jose Ramon Ezeiza,3XXX0477,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
660,Jose y Miguel,3SS12353,ESP000009086,,,VERDADERO,03/02/2009,censo mapa: cambia a otra lista,,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Donostia,01/01/2019,4.79,2.35,7.5,37,Cantabrico Noroeste,Palangre de Fondo,Palangre de Fondo,Palangre de Fondo,PALANGRE DE FONDO EN CANTABRICO NW,
662,Joseba,3XXX0246,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Ondarroa,01/01/2019,,,,,,,,,,
663,Joseba,3XXX0598,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
665,Joseba Elezgarai,3XXX0248,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
667,Joseba Flores,3XXX0250,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
668,Joseba Galparsoro,3XXX0251,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
669,Joseba Lizardi,3XXX0252,,,,VERDADERO,31/12/1998,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
671,Josefina Madre,3ST22-97,ESP000023453,,,VERDADERO,28/11/2011,,,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Laredo,01/01/2019,49.25,85,19.25,170,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
672,Josema,3XXX0254,,,,VERDADERO,31/12/2012,Baja por cese de ventas,,01/01/2019,REC_0_0_0,,01/01/2019,Pasaia,01/01/2019,,,5,,,,,,,
2428,Josercris,3GI85-96,ESP000023771,,,FALSO,,,1996,01/01/2019,GNS_DEF_60-79_0_0,LHM_SPF_0_0_0,01/01/2019,Luarca,01/01/2019,4.43,5.51,10.1,34,ARTES MENORES EN CANTABRICO NW,,Bajura,,ARTES MENORES EN CANTABRICO NW,
673,Joven Luis Fernando,3BI22541,ESP000000163,,,VERDADERO,29/08/2001,,,,,,01/01/2019,Bermeo,01/01/2019,12.8,9.67,12.56,94,Cantabrico Noroeste,Artes Menores,Artes Menores,Artes Menores,ARTES MENORES EN CANTABRICO NW,
674,Joven Republica (Peña de Horeb),3CO12602,ESP000014500,,,VERDADERO,02/06/2005,,1985,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Ceuta,01/01/2019,46.78,43,20.3,260,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
675,Joven Rosa Mari,3BI22447,ESP000007794,,,VERDADERO,08/06/2006,Fecha de baja la del hundimiento proporcionada por JP Santiago,,,,,01/01/2019,Bermeo,01/01/2019,7.39,5.9,11.4,96,Cantabrico Noroeste,Artes Menores,Artes Menores,Artes Menores,ARTES MENORES EN CANTABRICO NW,
1776,Joxan,3BI40216,ESP000016053,,,VERDADERO,26/04/1996,,,,,,01/01/2019,Ondarroa,,,,,,,,,,,
676,Joxan Segundo,3BI42-95,ESP000023165,,,VERDADERO,31/12/2000,"El buque sigue activo en 2014, pero se vendió a Lastres en el 2000",,,,,01/01/2019,Ondarroa,01/01/2019,2.17,1.79,5.75,40,Cantabrico Noroeste,Artes Menores,Artes Menores,Artes Menores,ARTES MENORES EN CANTABRICO NW,
677,Joxean,3SS12415,ESP000015195,,,VERDADERO,21/08/2008,,1987,01/01/2019,GNS_DEF_60-79_0_0,LTL_LPF_0_0_0,01/01/2019,Pasaia,01/01/2019,39.04,50,20.15,250,Cantabrico Noroeste,Rasco,Rasco,Rasco,RASCO EN CANTABRICO NW,
678,Juan (Comprador),3XXX0256,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Lekeitio,01/01/2019,,,,,,,,,,
1777,Juan Alicia,3XXX0642,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
680,Juan Carlos Sanchez,3XXX0255,,,,VERDADERO,31/12/1999,Baja por cese de ventas,,,,,01/01/2019,Desconocido,01/01/2019,,,,,,,,,,
681,Juan Mari,3XXX0257,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
682,Juan Mari,M324,GBR000A19301,,,VERDADERO,08/06/1998,Baja por cese de ventas,,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Milford Haven,01/01/2019,,,,,,,,,Pabellón extranjero,
1779,Juan Mari,3XXX0620,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Ondarroa,,,,,,,,,,,
685,Juan Maria Burgaña,3XXX0259,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
1781,Juan Santana,3ST31787,ESP000010594,,,VERDADERO,12/08/1996,Baja en 1996 pero tenemos ventas asociadas hasta 1999,,,,,01/01/2019,Santoña,,,,,,,,,,,
687,Juana Maria Jose,3XXX0260,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Ondarroa,01/01/2019,,,,,,,,,,
688,Juanhjo,3ST44-96,ESP000023400,,,VERDADERO,04/06/2010,,,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Colindres,01/01/2019,75,91,22.66,400,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
689,Juanita (Txakurrena),3XXX0261,,,,VERDADERO,31/12/2012,"Baja por cese de ventas
Son partidas de venta para los pescadores, según la cofradia. No existe barco Juanita, unos marineros vendieron su parte y en la cofradía pusieron ""juanita"" (peli)",,01/01/2019,UNK_0_0_0,,01/01/2019,Donostia,01/01/2019,,,,,,,,,,
690,Juanjo,3XXX0727,,,,VERDADERO,31/12/1999,Baja por cese de ventas,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
2512,Jubilee Intrepid,GY6,GBR000A14118,,,VERDADERO,14/02/2011,Este barco está dado de baja antes de las fechas de desembarcos y el codigo que aparece en la cofradia no tiene la estructura correcta. Es un error!!!,1988,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Grimsby,01/01/2019,,143,21.32,,,,,,Pabellón extranjero,
1782,Julen,3XXX0262,,,,VERDADERO,31/12/1996,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
1783,Juli,3XXX0263,,,,VERDADERO,31/12/1996,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
1784,Julian,3XXX0264,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
2291,Julien II,LO 683113,FRA000683113,,,FALSO,,,,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Lorient,01/01/2019,,,8.8,,,,,,Pabellón extranjero,
1785,Juliola IV,3GI60672,ESP000014968,,,VERDADERO,09/01/1998,,,,,,01/01/2019,Bermeo,,,,,,,,,,,
1786,Juncal,3XXX0266,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
696,Juncalita,3XXX0267,,,,VERDADERO,31/12/2001,Baja por cese de ventas,,01/01/2019,REC_0_0_0,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
2553,Jundiña Cuarto (ex Labayen),3CO22-17,ESP000025049,263424980,CUEK5,FALSO,,Vendido a Leixoes en 2011 en censo europeo mantiene ESP en codigo.,2001,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,A Coruña,01/01/2019,,297,32.5,538.7,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIa",,,,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde",
697,Jupiter,BA 294405,FRA000294405,,,VERDADERO,21/05/2004,,,01/01/2019,LLS_DEF_0_0_0,FPO,01/01/2019,Saint Jean de Luz,01/01/2019,,,,,,,,,Pabellón extranjero,
1787,Justo Lecue Segundo,3ST42420,ESP000006910,,,VERDADERO,17/02/2000,,,,,,01/01/2019,San Vicente de la Barquera,,,,,,,,,,,
1789,Kakallet,3XXX0268,,,,VERDADERO,31/12/1998,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
2322,Kala Berri,3SS14-04,ESP000026233,224137260,EB5371,FALSO,,,2005,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Pasaia,01/01/2019,11.47,12.79,13.34,95,PALANGRE DE FONDO EN CANTABRICO NW,Palangre de fondo,Palangre de fondo,,PALANGRE DE FONDO EN CANTABRICO NW,
1501,Kalamendi,3BI42-03,ESP000025788,224169000,EAXJ,FALSO,,,2003,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Ondarroa,01/01/2019,274.64,476,42.5,480,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIa",ARRASTRE,ARRASTRE,,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde",
1436,Kalamua Bi,3BI12-01,ESP000025287,224052360,EBYE,FALSO,,Era el Monte Kalamua,2002,01/01/2019,PS_SPF_0_0_0,LHP_LPF_0_0_0,01/01/2019,Lekeitio,01/01/2019,140.46,156,31.6,814,CERCO EN CANTABRICO NW,CERCO,CERCO,,CERCO EN CANTABRICO NW,
699,Kalandi,3XXX0269,,,,VERDADERO,31/12/1996,Baja por cese de ventas,,,,,01/01/2019,Ondarroa,01/01/2019,,,,,,,,,,
1393,Kamikaze II,LS 683191,FRA000683191,,,VERDADERO,31/12/2006,"Baja por cese de ventas, en 2013 se vende a Sligo (IRL)",1984,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Les Sables d'Olonne,,,,,,,,,,,
2704,Kantauri,3SS32-2015,ESP000027743,,EAGB,FALSO,,,2016,01/01/2019,PS_SPF_0_0_0,LHP_LPF_0_0_0,01/01/2019,Getaria,01/01/2019,146.76,175,27.55,540,CERCO EN CANTABRICO NW,,,,CERCO EN CANTABRICO NW,
1790,Kantxopi,3XXX0271,,,,VERDADERO,31/12/1998,Baja por cese de ventas,,,,,01/01/2019,Ondarroa,,,,,,,,,,,
1791,Karmele,3XXX0622,,,,VERDADERO,31/12/1998,Baja por cese de ventas,,,,,01/01/2019,Ondarroa,,,,,,,,,,,
703,Karmengo Ama,3SS12359,ESP000009084,,,VERDADERO,04/12/2007,baja por venta fuera,1983,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Figueras,01/01/2019,2.48,1.88,9,37,Cantabrico Noroeste,Artes Menores,Artes Menores,Artes Menores,ARTES MENORES EN CANTABRICO NW,
375,Karramarru (ex Dagmara),BA 545011,FRA000545011,,,VERDADERO,02/10/2012,"3BI-4-1-11 folio en Ondarroa
EACX radio en Ondarroa",1981,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Ondarroa,01/01/2019,221.6,,,1000,,,,,,
705,Kaskarot,BA 329070,FRA000329070,,,VERDADERO,06/08/2003,,,01/01/2019,LLS_DEF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Marennes,01/01/2019,,,,,,,,,Pabellón extranjero,
2241,Kaxarra,3BI43-05,ESP000026886,224361000,ECKC,FALSO,,"Entrada en servicio 7/02/07, pareja con el Kaxu",2006,01/01/2019,PTB_DEF_>=70_0_0,,01/01/2019,Ondarroa,01/01/2019,240.3,372,37,500,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIa",ARRASTRE,ARRASTRE,,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde",
1425,Kaximirona,3SS31-01,ESP000025233,224060680,EBXQ,FALSO,,Sustituto de Nuevo Casimirona. Entrada en servicio 4/4/02,2001,01/01/2019,PS_SPF_0_0_0,LHP_LPF_0_0_0,01/01/2019,Getaria,01/01/2019,140,162,33.5,500,CERCO EN CANTABRICO NW,CERCO,CERCO,,CERCO EN CANTABRICO NW,
2230,Kaxu,3BI41-05,ESP000026833,224315000,ECJT,FALSO,,"Entrada en servicio 30/11/06. a la pareja con el Zapi, despues pareja con el Kaxarra",2006,01/01/2019,PTB_DEF_>=70_0_0,,01/01/2019,Ondarroa,01/01/2019,240.3,372,37,500,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIa",ARRASTRE,ARRASTRE,,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde",
707,Kayua,3SS31369,ESP000001662,,,VERDADERO,01/08/2003,Eslora total tomada del censo nacional,,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Getaria,01/01/2019,5.6,3.56,9.9,60,Cantabrico Noroeste,Artes Menores,Artes Menores,Artes Menores,ARTES MENORES EN CANTABRICO NW,
708,Keila eta Naia,3XXX0274,,,,VERDADERO,31/12/1998,Baja por cese de ventas,,,,,01/01/2019,Ondarroa,01/01/2019,,,,,,,,,,
709,Kelly,W298,IRL000I14072,,,VERDADERO,31/12/2001,"Baja por cese de ventas, en 2013 sigue activo",,01/01/2019,GNS,,01/01/2019,Waterford,01/01/2019,,1.3,5.5,4,,,,,Pabellón extranjero,
713,Keroulan,LO 686705,FRA000686705,228394000,FGIP,FALSO,,,1990,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Lorient,01/01/2019,147.47,,24.83,750,,,,,Pabellón extranjero,
1485,Kersiny,BA 278969,FRA000278969,227412000,FZYC,FALSO,,,1976,01/01/2019,GNS_DEF_100-119_0_0,,01/01/2019,Bayonne,,,,,,,,,,,
1414,Kiko,3XXX0820,,,,VERDADERO,31/12/2007,Baja por cese de ventas,,01/01/2019,UNK_0_0_0,,01/01/2019,Desconocido,,,,,,,,,,,
716,Kirrixki,3BI46-00,ESP000024806,228005600,FFZX,FALSO,,exportado en 2011,2000,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Bayonne,01/01/2019,211.14,363,37.25,800,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIa",Arrastre,Arrastre,,Pabellón extranjero,
717,Kiskitza,3XXX0279,,,,VERDADERO,05/01/2001,Baja por cese de ventas,,01/01/2019,REC_0_0_0,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
718,Kittara,BA 724744,FRA000724744,,FJ2315,FALSO,,,1992,01/01/2019,LLS_DEF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Bayonne,01/01/2019,,,11.9,,,,,,Pabellón extranjero,
2539,Kittiwake,G25,IRL000I10665,,,FALSO,,,1989,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Galway,01/01/2019,,131,21.95,242.48,,,,,Pabellón extranjero,
2224,Koasta,3SS33-05,ESP000026683,224238270,EB4580,FALSO,,Entrada en servicio 19/4/06,2006,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Getaria,01/01/2019,3.29,2.26,8.04,40,ARTES MENORES EN CANTABRICO NW,,,,ARTES MENORES EN CANTABRICO NW,
720,Koaxi (ex Rohellan),BA 115934,FRA000115934,,,VERDADERO,15/01/2009,,1975,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Bayonne,01/01/2019,288.56,,,800,,,,,Pabellón extranjero,
1793,Koldo,3XXX0281,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
1435,Koroko (ex Urresti Berria),3BI25-01,ESP000025292,224057370,EA6060,FALSO,,,2002,01/01/2019,LLS_DEF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,58.14,63,21,365,PALANGRE DE FONDO EN CANTABRICO NW,,Bajura,,PALANGRE DE FONDO EN CANTABRICO NW,
1794,Kote,3XXX0635,,,,VERDADERO,31/12/1998,baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
2254,Kraskabille,BA 622481,FRA000622481,,,FALSO,,,1973,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Bayonne,,,,,,,,,,,
1342,Kresus,3XXX0789,,,,VERDADERO,31/12/2001,"Segun cofradia redero o palangrero, pongo redero por capturas. Baja por cese de ventas, no lo encuentro en el censo europeo (IAI)",,01/01/2019,GNS_DEF_100-119_0_0,LLS_DEF_0_0_0,01/01/2019,Concarneau,,,,,,,,,,,
723,Kuku Arri,3SS12222,ESP000001663,,,VERDADERO,17/02/2014,,1971,01/01/2019,PS_SPF_0_0_0,LHP_LPF_0_0_0,01/01/2019,Hondarribia,01/01/2019,130.14,128,31.53,660,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
2791,L'Aiguillon,AC739749,FRA000739749,,FVNK,FALSO,,,,,,,,,,,,,,,,,,,
2457,L'Albatros,BA 684186,FRA000684186,228124000,FHCR,FALSO,,En Censo europeo metier principal es PTB pero en cofradia confirman que allí van como OTB (iai),,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Bayonne,01/01/2019,,118,20.79,323,,,,,Pabellón extranjero,
2251,L'Argonaute,GV 407012,FRA000407012,227472000,FPDI,FALSO,,,1978,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Guilvinec,01/01/2019,,,16.4,272,,,,,Pabellón extranjero,
1417,L'As des As,AC 660594,FRA000660594,228107000,FHXS,FALSO,,,,01/01/2019,OTB_DEF_>=70_0_0,GNS_DEF_60-79_0_0,01/01/2019,Arcachon,01/01/2019,,50,16.9,316,,,,,Pabellón extranjero,
724,L'Atoll,BA 389180,FRA000389180,,,VERDADERO,05/05/2004,,,01/01/2019,GNS_DEF_100-119_0_0,,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
725,L'Aventurier,BA 655448,FRA000655448,,,FALSO,,,,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
2629,L'Aventurier,3XXX0002,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Francia,,,,,,,,,,,
726,L'Epaulard,BA 413111,FRA000413111,,,FALSO,,,,01/01/2019,PTB_MPD_>=55_0_0,,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
2507,L'Espoir (ex Antinea),BA 492389,FRA000492389,228843000,FPOA,FALSO,,,1979,01/01/2019,GNS_DEF_>=100_0_0,,01/01/2019,Bayonne,01/01/2019,,120,20.48,441,,,,,Pabellón extranjero,
728,L'Etel,BA 318357,FRA000318357,,,VERDADERO,27/02/2013,,1975,01/01/2019,GNS_DEF_100-119_0_0,,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
729,L'Etoile du Jour,BA 266711,FRA000266711,,,VERDADERO,22/07/2004,,,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
2124,L'Intrepide,AC 844294,FRA000844294,,,VERDADERO,31/12/2005,baja por cese de ventas. a 2014 sigue activo pero 8 años sin vender. No hay seguridad de que sea este L'intrepide (IAI),,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Arcachon,,,,,,,,,,,
2345,L'Irlandais,SM 735385,FRA000735385,,,VERDADERO,29/02/2012,Saint Malo,,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Saint Malo,01/01/2019,,,,,,,,,Pabellón extranjero,
730,L'Oiseau des Iles,BA 750089,FRA000750089,,,VERDADERO,09/11/2006,No hay seguridad en la identidad del barco (IAI),,,,,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
1031,L'Omerta (ex Ste-Mor-Al  ex Orient),LR 685911,FRA000685911,227903000,FHXG,FALSO,,,1988,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,La Rochelle,01/01/2019,,55,18.46,324,,,,,Pabellón extranjero,
732,L'Ouragan,BA 128634,FRA000128634,,,VERDADERO,03/07/2001,,,,,,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
2635,L'Ouragan,IO 181150,FRA000181150,,,FALSO,,,1975,01/01/2019,OTB_DEF_>=70_0_0,PTM,01/01/2019,Ile d'Oleron (Le Chateau),01/01/2019,,11.23,11.9,102,,,,,Pabellón extranjero,
733,L'Ours des Mers,AC 719744,FRA000719744,,,VERDADERO,31/12/1997,baja por cese de ventas. En 2014 el barco sigue activo despues de ser exportado e importado.,,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Arcachon,01/01/2019,,,,,,,,,Pabellón extranjero,
734,L'Oyat,LR 726519,FRA000726519,,,VERDADERO,31/12/1996,baja por cese de ventas,,,,,01/01/2019,La Rochelle,,,,,,,,,,,
735,La Coquille,J654,GBR000J10096,,,FALSO,,,,01/01/2019,GNS_DEF_100-119_0_0,,01/01/2019,Jersey,01/01/2019,,,,,,,,,Pabellón extranjero,
2577,La Flechera (Irurena Uno),3BI31-98,ESP000023912,,,FALSO,,,1998,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Laredo,01/01/2019,6.04,6.16,10.63,62.55,ARTES MENORES EN CANTABRICO NW,,,,ARTES MENORES EN CANTABRICO NW,
2321,La Flibuste,LO 274698,FRA000274698,,,FALSO,,,1975,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Lorient,01/01/2019,,4,8.06,44,,,,,Pabellón extranjero,
762,La Fregate,BA 302890,FRA000302890,,,VERDADERO,23/07/2004,,,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
