Código,Buque,Folio,Código UE,Código MMSI,Código Radio,Baja,Fecha baja,Observaciones,Año construcción,Fecha metier,Metier principal,Metier secundario,Fecha puerto base,Puerto base,Fecha características técnicas,TRB,GT,Eslora,Potencia,Caladero principal,Tipo pesca principal,Segmento,Varios,CensoPorModalidad,Notas
2446,Carmen Uno,3ST62-02,ESP000025213,,,FALSO,,,2002,01/01/2019,GNS_DEF_60-79_0_0,LHM_SPF_0_0_0,01/01/2019,San Vicente de la Barquera,01/01/2019,7.77,5.19,9.61,30,ARTES MENORES EN CANTABRICO NW,,Bajura,,ARTES MENORES EN CANTABRICO NW,
306,Carmentxu,3XXX0100,,,,VERDADERO,31/12/1999,baja por cese de ventas,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
2655,Carminchin,LO 642951,FRA000642951,227354000,FVFO,FALSO,,,1987,01/01/2019,GNS_DEF_60-79_0_0,LLS_DEF_0_0_0,01/01/2019,Lorient,01/01/2019,41.35,58.65,16.1,261,,,,,Pabellón extranjero,
2760,Carminchin,LO 933575,FRA000933575,,FJVX,FALSO,,,2016,01/01/2019,LLS_DEF_0_0_0,GNS_DEF_>=100_0_0,01/01/2019,Lorient,01/01/2019,,250,24.95,530,,,,,Pabellón extranjero,
2709,Carmona,S383,SWE000007968,250429000,EI6206,FALSO,,En censo europeo tambien 3er y 4º metier GND y PTM,1997,01/01/2019,OTB_DEF_70-99_0_0,PS_SPF_0_0_0,01/01/2019,Skibbereen,01/01/2019,,322,27.38,736,,,,,Pabellon extranjero,
1627,Carnaval,3BI22410,ESP000000231,,,VERDADERO,09/02/1995,,,,,,01/01/2019,Bermeo,,,,,,,,,,,
1628,Carolina,3XXX0456,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
833,Carpe Diem (ex Mar-Mar),BA 294718,FRA000294718,,,VERDADERO,27/11/2009,,,01/01/2019,LLS_DEF_0_0_0,GNS_DEF_60-79_0_0,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
308,Carre d'As,BA 477407,FRA000477407,,,FALSO,,No tiene venta en el PV desde 2001 (a JUn14),,01/01/2019,GNS_DEF_100-119_0_0,,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
1629,Carreira,3SS12448,ESP000021742,,,VERDADERO,12/12/1996,,,,,,01/01/2019,Pasaia,,,,,,,,,,,
309,Carreras,3XXX0774,,,,VERDADERO,31/12/2001,"Baja por cese de ventas (no lo encuentro en censo, IAI)",,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Concarneau,01/01/2019,,,,,,,,,Pabellón extranjero,
310,Casal Mar,3GI45-91,ESP000022164,,,VERDADERO,04/02/2003,"Este barco tiene mareas en 2004-5 en Pasaia pero está exportado a marruecos. He llamado a la cofradía y el código es correcto. Eslora total del censo nacional. SPcasalmar, gallego,pintxero,viejo (IAI)",1991,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Ondarroa,01/01/2019,42.77,94,,350,Cantabrico Noroeste,Palangre de Fondo,Palangre de Fondo,Palangre de Fondo,PALANGRE DE FONDO EN CANTABRICO NW,
311,Castellanos (Comprador),3XXX0717,,,,VERDADERO,31/12/2003,baja por cese de ventas,,01/01/2019,UNK_0_0_0,,01/01/2019,Desconocido,01/01/2019,,,,,,,,,,
312,Castillo Anaiak (ex Agustina),3SS31421,ESP000021828,224087830,EA2735,FALSO,,el Agustina cambia el nombre a Castillo Anaiak el 9/8/99,1990,01/01/2019,GNS_DEF_60-79_0_0,LTL_LPF_0_0_0,01/01/2019,Getaria,01/01/2019,25.55,27,15.5,215,ARTES MENORES EN CANTABRICO NW,Artes Menores,Artes Menores,,ARTES MENORES EN CANTABRICO NW,
2799,Castro Dacosta,3VI-3-2-03,ESP000025961,,,FALSO,,,2004,,,,,,,,,,,,,,,,
2294,Castro Verde,3ST13-99,ESP000024401,,,FALSO,,,1999,01/01/2019,GNS_DEF_60-79_0_0,LHM_SPF_0_0_0,01/01/2019,Santoña,01/01/2019,13.01,14.62,14.3,110,ARTES MENORES EN CANTABRICO NW,Bajura,Bajura,,ARTES MENORES EN CANTABRICO NW,
314,Caza y Pesca,3XXX0102,,,,VERDADERO,31/12/2002,baja por cese de ventas,,01/01/2019,REC_0_0_0,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
2645,Celacante,SB 928075,FRA000928075,,,VERDADERO,14/10/2014,,2008,01/01/2019,OTB,,01/01/2019,Saint Brieuc,01/01/2019,124.41,180.7,24.99,656,,,,,Pabellón extranjero,
1630,Cerco,3XXX0103,,,,VERDADERO,31/12/1995,"baja por cese de ventas, ¿Cuenta de ajuste?",,,,,01/01/2019,Pasaia,,,,,,,,,,,
1631,Cerquero Uno,3VI13-91,ESP000022072,,,VERDADERO,13/12/1995,"baja por cese de ventas, ¿cuenta de ajuste?",,,,,01/01/2019,Celeiro,,,,,,,,,,,
317,Cesar Bolado,3ST31811,ESP000015546,,,VERDADERO,28/06/2001,,1988,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Santander,01/01/2019,50.75,63.4,22.1,250,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
318,Cesareo Aguirrebengoa,3XXX0104,,,,VERDADERO,31/12/1997,baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
367,Chamte,3XXX0765,,,,VERDADERO,31/12/2000,Baja por cese de ventas,,,,,01/01/2019,Francia,01/01/2019,,,,,,,,,Pabellón extranjero,
368,Charolais,3ST42516,ESP000000026,,,VERDADERO,14/02/2007,,1976,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Santander,01/01/2019,174.58,202,30.8,540,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIa",Arrastre,Arrastre,Arrastre,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde",
2786,Chat,AC424750,FRA000424750,,FPPJ,FALSO,,"en censo europeo tambien LLS, GNS y LHP",1980,,,,,,,,,,,,,,,,
369,ChaVeiga,3VI510083,ESP000021332,224086740,EA5889,FALSO,,,1989,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Vigo,01/01/2019,42.53,44.3,19,348,CERCO EN CANTABRICO NW,Cerco,Cerco,,CERCO EN CANTABRICO NW,
1633,Chemaypa,3SS12249,ESP000010500,,,VERDADERO,28/06/2001,Pareja del Concheiro (aunque cofradia no lo confirma) IAI,,,,,,,,,,,,,,,,,
370,Chinando Segundo,3CO12477,ESP000004466,,,VERDADERO,09/06/2003,,1972,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Ceuta,01/01/2019,29.47,35.3,17.1,195,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
1634,Chino,3CO22742,ESP000011307,,,VERDADERO,20/01/2000,,,,,,01/01/2019,Pasaia,,,,,,,,,,,
2737,Chiquita dos,VI5902,ESP000025586,,,FALSO,,,2003,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Vigo,01/01/2019,42.22,42.93,21.41,270,CERCO EN CANTABRICO NW,,,,CERCO EN CANTABRICO NW,
371,Chono,3CO12465,ESP000003985,,,VERDADERO,13/09/2004,,1972,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Sada,01/01/2019,24.1,25.57,16.25,230,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
372,Chono Segundo,3CO12605,ESP000014916,224050140,EA7982,FALSO,,,1986,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Sada,01/01/2019,49.44,61.46,22,280,CERCO EN CANTABRICO NW,Cerco,Cerco,,CERCO EN CANTABRICO NW,
2318,Christian M,UL578,GBR000B14393,232006270,MVWV4,FALSO,,,1972,01/01/2019,GNS_DEF_100-119_0_0,,01/01/2019,Ullapool,01/01/2019,35.4,,,597,,,,,Pabellón extranjero,
374,Christmas-Tide,SO677,IRL000I10261,,,VERDADERO,17/11/2008,,,,,,01/01/2019,Sligo,01/01/2019,,,,,,,,,Pabellón extranjero,
319,Cibeles,3BI40197,ESP000010499,,,VERDADERO,21/05/2007,,1977,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Burela,01/01/2019,230.69,218.17,32.1,800,"Zona CIEM Vb, VI, VII y VIIIabd",Arrastre,Arrastre,Arrastre,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde",
2574,Cidade de Albufeira,O-2136-C,PRT000021156,,,FALSO,,,2001,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Olhao,01/01/2019,,225.09,27.5,372.85,,,,,Pabellón extranjero,
320,Cinco Hermanos,3CO73616,ESP000021609,,,VERDADERO,21/11/2008,,1989,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Zierbena,01/01/2019,32.23,36,16.61,238,CERCO EN CANTABRICO NW,,,,CERCO EN CANTABRICO NW,
2805,Cisemair,S430,IRL000I00759,,EI7396,FALSO,,,2003,,,,,,,,,,,,,,,,
2646,Ciudad de Huelva (ex Cidade de Faro),O-2127-C,PRT000020436,,,FALSO,,,2001,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Huelva,01/01/2019,143.82,287,32.53,544.26,,,,,,
322,Clementina,3SS12-91,ESP000022247,224213850,EB7229,FALSO,,,1992,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Pasaia,01/01/2019,11.92,9.04,11.68,76,ARTES MENORES EN CANTABRICO NW,ARTES MENORES,ARTES MENORES,,ARTES MENORES EN CANTABRICO NW,
1635,CODIMEX,3XXX0108,,,,VERDADERO,31/12/2005,baja por cese de ventas,,,,,01/01/2019,Desconocido,,,,,,,,,,,
2547,Coelleira (ex Poolster),OB93,GBR000A18855,,,FALSO,,,1970,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Oban,01/01/2019,,210,30,596,,,,,Pabellón extranjero,
1636,Collado Lindo,3ST42362,ESP000003883,,,VERDADERO,19/01/2000,,,,,,01/01/2019,Colindres,,,,,,,,,,,
2563,Colomba Tercero,3VI5998,ESP000024034,224069550,EA3631,FALSO,,,1998,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Vigo,01/01/2019,31.31,33.8,18,215,CERCO EN CANTABRICO NW,CERCO,Bajura,,CERCO EN CANTABRICO NW,
1637,Concepcion Anakabe,3XXX0129,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Lekeitio,,,,,,,,,,,
1368,Concepcion Madre,3ST21-00,ESP000024574,224102340,EA4580,FALSO,,,2000,01/01/2019,PS_SPF_0_0_0,,01/01/2019,A Coruña,01/01/2019,39.2,57.02,21.58,220,CERCO EN CANTABRICO NW,CERCO,CERCO,,CERCO EN CANTABRICO NW,
348,Concerto,BA 318347,FRA000318347,,,VERDADERO,07/02/2012,,1975,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Bayonne,01/01/2019,,230,33.25,590,,,,,Pabellón extranjero,
350,Concheiro,3CO23816,ESP000007592,,,VERDADERO,16/10/2006,Pareja del Chemaypa (aunque cofradia no lo confirma) IAI,1970,01/01/2019,OTB_DEF_70-99_0_0,,,,01/01/2019,294.89,280.03,39.66,1200,"Zona CIEM Vb, VI, VII y VIIIabd",Arrastre,Arrastre,Arrastre,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde",
351,Connick,3XXX0763,,,,VERDADERO,31/12/2000,Baja por cese de ventas,,,,,01/01/2019,Irlanda,01/01/2019,,,,,,,,,Pabellón extranjero,
2789,Corvo,3AM-5-1-18,ESP000025426,,EA4108,FALSO,,,2002,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Muxia,01/01/2019,,100.77,24.95,375,PALANGRE DE FONDO EN CANTABRICO NW,,,,PALANGRE DE FONDO EN CANTABRICO NW,
354,Cosmos,SJ 189681,FRA000189681,,,VERDADERO,15/11/2010,En registro europeo Puerto Base Bayonne,,01/01/2019,GNS_DEF_100-119_0_0,LTL_LPF_0_0_0,01/01/2019,Saint Jean de Luz,01/01/2019,,,,,,,,,Pabellón extranjero,
355,Costa Cordal,3VILL510-96,ESP000023512,224041480,EA2871,FALSO,,,1996,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Cambados,01/01/2019,41.66,51.62,20,330,CERCO EN CANTABRICO NW,Cerco,Cerco,,CERCO EN CANTABRICO NW,
356,Cougouar,3XXX0515,,,,VERDADERO,31/12/2000,Baja por cese de ventas,,,,,01/01/2019,Concarneau,01/01/2019,,,,,,,,,Pabellón extranjero,
1478,Coyo Tercero,3VILL1302,ESP000025386,,,VERDADERO,31/12/2003,Baja por cese de ventas.,,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Santa Uxia de Ribeira,01/01/2019,186.11,335,32,613,PALANGRE DE SUPERFICIE EN PACIFICO E INDICO,Palangre,,,PALANGRE DE SUPERFICIE EN PACIFICO E INDICO,
