"IdVenta";"Metier";"Puerto.venta";"Trimestre";"Especie.comercial.Gen";"Especie.comercial";"Especie.comercial.ALFA3";"Especie.muestreada";"Especie.muestreada.ALFA3";"Peso";"TripSamp"
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Maruca - Juliana (Molva molva)";"Maruca - Juliana (Molva molva)";"LIN";"Maruca - Juliana (Molva molva)";"LIN";6,137841921;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Merluza europea";"Merluza europea";"HKE";"Merluza europea";"HKE";1956,601;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Musola";"Musola";"SMD";"Musola";"SMD";10,04136406;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Musola";"Musola";"SMD";"Musola dentuda - musola estrellada";"SDS";18,56663594;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Peon - pez plata";"Peon - pez plata";"ARY";"Peon - pez plata";"ARY";630,5;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Pez de San Pedro";"Pez de San Pedro";"JOD";"Pez de San Pedro";"JOD";25,5;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Pintarroja";"Pintarroja";"SYC";"Pintarroja";"SYC";675;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Potas Ommastrephidae nep";"Pota costera";"TDQ";"Pota costera";"TDQ";22,81981982;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Potas Ommastrephidae nep";"Pota voladora";"SQM";"Pota voladora";"SQM";28,18018018;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Rapes Lophius";"Rape blanco";"MON";"Rape blanco";"MON";71,404590819;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Rapes Lophius";"Rape negro";"ANK";"Rape negro";"ANK";1393,2;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Rayas spp";"Raya santiaguesa";"RJN";"Raya santiaguesa";"RJN";417;1
