"Nombre_Buque","Puerto_Base","Censo","Trip","Fecha_Desembarco","Dia","Mes","Ano","Zona2","Metier","Peso","Metier_Rev","check"
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",532980,2020-03-30,31,3,2020,"27.8.c","PTB_MPD_>=55_0_0",5663.85,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533045,2020-03-31,1,4,2020,"27.8.c","PTB_MPD_>=55_0_0",7115.4536,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533126,2020-04-01,2,4,2020,"27.8.c","PTB_MPD_>=55_0_0",10498.0152,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533285,2020-04-05,6,4,2020,"27.8.c","PTB_MPD_>=55_0_0",10860.4346,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533329,2020-04-06,7,4,2020,"27.8.c","PTB_MPD_>=55_0_0",9796.4728,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533365,2020-04-07,8,4,2020,"27.8.c","PTB_MPD_>=55_0_0",5186.05,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533449,2020-04-12,13,4,2020,"27.8.c","PTB_MPD_>=55_0_0",15350.55,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533452,2020-04-13,14,4,2020,"27.8.c","PTB_MPD_>=55_0_0",6502,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533506,2020-04-14,15,4,2020,"27.8.c","PTB_MPD_>=55_0_0",6120.9108,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533577,2020-04-15,16,4,2020,"27.8.c","PTB_MPD_>=55_0_0",2394.531,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533629,2020-04-19,20,4,2020,"27.8.c","PTB_MPD_>=55_0_0",9672.6691,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533676,2020-04-20,21,4,2020,"27.8.c","PTB_MPD_>=55_0_0",5562.8464,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",533726,2020-04-21,22,4,2020,"27.8.c","PTB_MPD_>=55_0_0",4457.865,"PTB_MPD_>=55_0_0",TRUE
