"IdBuque","fcCambio","Nombre","CodigoCFR","EsloraTotal","EsloraPP","ArqueoGT","FechaCambioDatosTecnicos","FechaCambioDatosMotor","PotenciaPropulsionTotalKW","FcCambioIdentificacion","PuertoBase","AL5_PuertoBase","ProvinciaPuertoBase","CensoPorModalidad","FcEfectoInicial","fcCambio2"
118932293,2015-06-12,"NOVO RUBICHE","ESP000058877",5.95,4.76,1.56,2015-06-12,2015-06-12,18.38746,2015-06-12,"Noia","ESNOA","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-06-12,2015-06-12
118939696,2018-06-22,"LUSENA","ESP000058878",6.1,4.88,1.63,2015-06-12,2015-06-12,22.06496,2018-06-22,"Barallobre","ESBLE","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-06-12,2018-06-22
119066034,2017-05-09,"PAULA Y VALERIA","ESP000027684",14.79,11.83,11.76,2015-06-15,2015-06-15,99.29233,2017-05-09,"Marbella","ESMQE","MALAGA","ARRASTRE DE FONDO EN EL MEDITERRANEO",2015-06-15,2017-05-09
119213399,2015-06-18,"YAIZA","ESP000058879",6.04,4.85,1.5,2015-06-18,2015-06-18,18.38746,2015-06-18,"Palmeira","ESPMA","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-06-18,2015-06-18
119389129,2017-11-28,"TRONADA","ESP000027687",7.22,6.91,1.75,2015-06-22,2015-06-22,9.56148,2017-11-28,"Ondarroa","ESOND","VIZCAYA","ARTES MENORES EN CANTABRICO NW",2015-06-22,2017-11-28
119433598,2015-08-04,"PINTOS","ESP000058881",6.5,5.2,1.74,2015-06-23,2015-06-23,18.38746,2015-08-04,"Marin","ESMPG","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",2015-06-23,2015-08-04
119747847,2015-06-30,"MILAGROS FELISA II","ESP000027688",7.14,6.5,1.98,2015-06-30,2015-06-30,13.97447,2015-06-30,"Caleta del Sebo, La Graciosa","ESCHR","LAS PALMAS","ARTES MENORES EN CANARIAS",2015-06-30,2015-06-30
120064111,2015-07-07,"ALVI DOS","ESP000058882",6.1,4.88,1.66,2015-07-07,2015-07-07,18.38746,2015-07-07,"Combarro","ESCBY","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",2015-07-07,2015-07-07
121446426,2015-08-07,"NUEVO ALDEBARAN","ESP000027690",9.9,7.92,4.6,2015-08-07,2015-08-07,44.12992,2015-08-07,"Cudillero","ESCLO","PRINCIPADO DE ASTURIAS","ARTES MENORES EN CANTABRICO NW",2015-08-07,2015-08-07
121951345,2015-08-19,"TXORI ZURI","ESP000027691",89.66,89,3671,2015-08-19,2015-08-19,5421.50838,2015-08-19,"Bermeo","ESBRM","VIZCAYA","ATUNEROS CERQUEROS CONGELADORES EN OCEANO INDICO Y PACIFICO",2015-08-19,2015-08-19
122873725,2016-02-17,"NUEVO JOSE RUIZ","ESP000027693",9.06,7.29,1.74,2015-09-08,2015-09-08,25.70568,2016-02-17,"Garrucha","ESGAR","ALMERIA","ARTES MENORES EN EL MEDITERRANEO",2015-09-08,2016-02-17
122873725,2019-11-28,"NUEVO JOSE RUIZ","ESP000027693",9.06,7.29,1.74,2015-09-08,2015-09-08,25.70568,2019-11-28,"Almería","ESLEI","ALMERIA","ARTES MENORES EN EL MEDITERRANEO",2015-09-08,2019-11-28
123147420,2015-09-15,"SIEMPRE PRIMERA","ESP000027694",12.99,10.96,12.44,2015-09-15,2015-09-15,35.30394,2015-09-15,"Cillero","ESCIO","LUGO","ARTES MENORES EN CANTABRICO NW",2015-09-15,2015-09-15
123405550,2015-09-22,"DES PAS","ESP000027695",7.45,5.96,1.74,2015-09-22,2015-09-22,25.00695,2015-09-22,"Colonia San Jorge","ESCSB","BALEARES","ARTES MENORES EN EL MEDITERRANEO",2015-09-22,2015-09-22
123487242,2015-09-24,"NUEVA MI LAURA","ESP000027696",7.22,6.91,1.61,2015-09-24,2015-09-24,8.75243,2015-09-24,"San Ciprián","ESSCI","LUGO","ARTES MENORES EN CANTABRICO NW",2015-09-24,2015-09-24
123792215,2015-10-02,"ABELLEIRA UN","ESP000058888",6.04,4.85,1.5,2015-10-02,2015-10-02,11.03248,2015-10-02,"Noia","ESNOA","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-10-02,2015-10-02
124221514,2015-10-13,"RIJA UN","ESP000058889",5.7,4.56,1.5,2015-10-13,2015-10-13,22.06496,2015-10-13,"Rianjo","ESRIA","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-10-13,2015-10-13
124446686,2015-10-19,"REBALAJE","ESP000058891",6.8,5.44,0.87,2015-10-19,2015-10-19,14.71732,2015-10-19,"Sanlucar De Barrameda","ESSBA","CADIZ","ARTES MENORES  EN EL GOLFO DE CADIZ",2015-10-19,2015-10-19
124481161,2015-10-20,"MAR DE ANITA","ESP000027700",7.15,5.82,2.09,2015-10-20,2015-10-20,8.82598,2015-10-20,"Arrecife de Lanzarote","ESACE","LAS PALMAS","ARTES MENORES EN CANARIAS",2015-10-20,2015-10-20
125003317,2015-11-03,"OLNADI","ESP000027701",14.99,13.04,23.77,2015-11-03,2015-11-03,76.49187,2015-11-03,"Sada","ESSAD","LA CORUÑA","CERCO EN CANTABRICO NW",2015-11-03,2015-11-03
125603415,2015-11-18,"JOSE ELVIRA","ESP000058894",5.98,5.74,1.5,2015-11-18,2015-11-18,11.00306,2015-11-18,"Puentedeume","ESPTD","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-11-18,2015-11-18
125785580,2015-11-23,"MI MONTSE II","ESP000027705",20,17.14,68.12,2015-11-23,2015-11-23,156.66123,2015-11-23,"Almería","ESLEI","ALMERIA","ARRASTRE DE FONDO EN EL MEDITERRANEO",2015-11-23,2015-11-23
125879328,2017-12-27,"HELENA DOUS","ESP000058896",6.1,4.88,1.65,2015-11-25,2015-11-25,7.28143,2017-12-27,"Puerto del Son","ESPTN","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-11-25,2017-12-27
126102814,2015-12-01,"O SALMONETE","ESP000058897",7.05,6.18,1.86,2015-12-01,2015-12-01,11.03248,2015-12-01,"Lage","ESLAX","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-12-01,2015-12-01
126108924,2015-12-01,"POZIK BIZI","ESP000027711",8.55,6.84,3.29,2015-12-01,2015-12-01,14.70997,2015-12-01,"Guetaria","ESGTI","GUIPUZCOA","ARTES MENORES EN CANTABRICO NW",2015-12-01,2015-12-01
